step,train_loss,train_acc,dev_loss,dev_acc
0,26.95174789428711,0.135,26.75690269470215,0.13385714285714287
100,1.1403487920761108,0.723,0.8545779585838318,0.7184285714285714
200,0.6864534616470337,0.76325,0.7001773715019226,0.7567142857142857
300,0.48168617486953735,0.79325,0.6499389410018921,0.7752857142857142
400,0.7430525422096252,0.828,0.5674861669540405,0.8145714285714286
500,0.4491751194000244,0.8195,0.5492079257965088,0.8195714285714286
600,0.5088827610015869,0.824,0.5451323390007019,0.8101428571428572
700,0.6255569458007812,0.8255,0.5015761256217957,0.8205714285714286
800,0.5245101451873779,0.83175,0.5085941553115845,0.832
900,0.5725982189178467,0.82875,0.5107430219650269,0.815
1000,0.5492508411407471,0.85525,0.49651259183883667,0.8358571428571429
1100,0.7727173566818237,0.844,0.47885075211524963,0.836
1200,0.4377018213272095,0.846,0.4708738625049591,0.835
1300,0.4481314420700073,0.8485,0.4546719789505005,0.842
1400,0.33907821774482727,0.83925,0.46895158290863037,0.8354285714285714
1500,0.3881543278694153,0.8635,0.4496315121650696,0.847
1600,0.5259442329406738,0.85075,0.47121942043304443,0.839
1700,0.29548007249832153,0.859,0.45474258065223694,0.8421428571428572
1800,0.43294399976730347,0.8405,0.4654316306114197,0.8354285714285714
1900,0.30740511417388916,0.8515,0.4664427936077118,0.838
2000,0.4960205554962158,0.83075,0.4923115670681,0.825
2100,0.4454192817211151,0.8525,0.44323426485061646,0.8481428571428572
2200,0.44239357113838196,0.8545,0.41461414098739624,0.8541428571428571
2300,0.5008655190467834,0.853,0.4678276479244232,0.842
2400,0.30584588646888733,0.8625,0.4258633553981781,0.8544285714285714
2500,0.5754916667938232,0.8345,0.47927919030189514,0.833
2600,0.5627739429473877,0.85825,0.446472704410553,0.8461428571428572
2700,0.519656777381897,0.8625,0.4213990569114685,0.856
2800,0.4561331868171692,0.855,0.4438205361366272,0.8465714285714285
2900,0.40984103083610535,0.8605,0.4408487379550934,0.8515714285714285
3000,0.5447741746902466,0.85975,0.4410048723220825,0.8447142857142858
3100,0.43489593267440796,0.871,0.400280237197876,0.8591428571428571
3200,0.33960041403770447,0.8565,0.4259396195411682,0.8494285714285714
3300,0.44549477100372314,0.86525,0.4407121241092682,0.8544285714285714
3400,0.36051642894744873,0.8805,0.39516282081604004,0.8651428571428571
