step,train_loss,train_acc,dev_loss,dev_acc
0,32.39496994018555,0.102,27.940479278564453,0.096
100,1.3164582252502441,0.62375,1.252956748008728,0.6225714285714286
200,0.9803130030632019,0.68275,0.9717096090316772,0.685
300,0.7760125994682312,0.71425,0.8826512098312378,0.7105714285714285
400,0.6701915860176086,0.729,0.8002393841743469,0.7287142857142858
500,0.8231127858161926,0.73675,0.769220769405365,0.7267142857142858
600,0.6960929036140442,0.7695,0.7032425999641418,0.7601428571428571
700,0.7776001691818237,0.7765,0.6929307579994202,0.7654285714285715
800,0.5870406627655029,0.78875,0.6629761457443237,0.7755714285714286
900,0.6945107579231262,0.78175,0.6574459671974182,0.7727142857142857
1000,0.6639397740364075,0.79075,0.6455930471420288,0.7781428571428571
1100,0.613680899143219,0.80425,0.6210399270057678,0.7937142857142857
1200,0.43146592378616333,0.7975,0.6177387237548828,0.7904285714285715
1300,0.5600282549858093,0.8055,0.6257350444793701,0.7891428571428571
1400,0.4922965168952942,0.806,0.6035696268081665,0.7942857142857143
1500,0.5511134266853333,0.81075,0.5986598134040833,0.8057142857142857
1600,0.5046817660331726,0.81875,0.5831742286682129,0.8014285714285714
1700,0.43162527680397034,0.8095,0.5823508501052856,0.8032857142857143
1800,0.5185970067977905,0.81425,0.5946479439735413,0.7981428571428572
1900,0.5070123076438904,0.811,0.5740855932235718,0.8111428571428572
2000,0.5302181839942932,0.81575,0.5742738842964172,0.8077142857142857
2100,0.48811107873916626,0.826,0.570586621761322,0.8027142857142857
2200,0.5276623964309692,0.8175,0.5892632603645325,0.8014285714285714
2300,0.6119568347930908,0.82875,0.5668696761131287,0.8127142857142857
2400,0.47355544567108154,0.813,0.5763989686965942,0.8054285714285714
2500,0.4005270004272461,0.8295,0.5698075890541077,0.8131428571428572
2600,0.41581636667251587,0.82375,0.6073058843612671,0.8021428571428572
2700,0.6573794484138489,0.82475,0.5771856904029846,0.8101428571428572
2800,0.4490588307380676,0.8315,0.5787137746810913,0.8128571428571428
2900,0.4798862934112549,0.82425,0.5684024691581726,0.8094285714285714
3000,0.44717445969581604,0.83125,0.5730105638504028,0.8141428571428572
3100,0.45777493715286255,0.83075,0.5697798132896423,0.8128571428571428
3200,0.5282650589942932,0.82925,0.537683367729187,0.8167142857142857
3300,0.45505180954933167,0.83525,0.5405007600784302,0.8187142857142857
3400,0.5088800191879272,0.838,0.548316240310669,0.8215714285714286
