step,train_loss,train_acc,dev_loss,dev_acc
0,2.5227136611938477,0.16425,2.464423894882202,0.16142857142857142
100,0.749473512172699,0.7585,0.6833613514900208,0.7544285714285714
200,0.6268212795257568,0.787,0.5664792060852051,0.8034285714285714
300,0.47120967507362366,0.8095,0.5155704617500305,0.8191428571428572
400,0.49268943071365356,0.839,0.4812813103199005,0.8338571428571429
500,0.4825350046157837,0.834,0.45758673548698425,0.8405714285714285
600,0.3515397906303406,0.85775,0.4356664717197418,0.8461428571428572
700,0.419459730386734,0.85375,0.4280581474304199,0.8497142857142858
800,0.40149322152137756,0.84725,0.4175187051296234,0.8537142857142858
900,0.3690067529678345,0.85675,0.4159952998161316,0.8491428571428571
1000,0.42194679379463196,0.85375,0.4028422236442566,0.8587142857142858
1100,0.4320758581161499,0.8545,0.39038437604904175,0.8625714285714285
1200,0.4136697053909302,0.863,0.3882468342781067,0.8624285714285714
1300,0.48040077090263367,0.86025,0.39303141832351685,0.8625714285714285
1400,0.48643264174461365,0.873,0.3802528977394104,0.8681428571428571
1500,0.3308815658092499,0.8725,0.3816712200641632,0.8615714285714285
1600,0.37971195578575134,0.86525,0.3832860589027405,0.8618571428571429
1700,0.34628933668136597,0.86,0.38502267003059387,0.863
1800,0.3574981987476349,0.86625,0.37456944584846497,0.8668571428571429
1900,0.3913209140300751,0.88075,0.36782607436180115,0.8712857142857143
2000,0.3560047447681427,0.8715,0.3741586208343506,0.8645714285714285
2100,0.3320845067501068,0.88375,0.3629128038883209,0.8755714285714286
2200,0.35171639919281006,0.87625,0.36900630593299866,0.8682857142857143
2300,0.3736020624637604,0.87825,0.3579305112361908,0.8774285714285714
2400,0.3580377697944641,0.87425,0.362527072429657,0.8732857142857143
2500,0.36786383390426636,0.875,0.35540327429771423,0.8758571428571429
2600,0.2885858416557312,0.87,0.3655964434146881,0.8721428571428571
2700,0.3400610387325287,0.8765,0.35423314571380615,0.8734285714285714
2800,0.4262460470199585,0.8745,0.36122778058052063,0.8742857142857143
2900,0.3471781611442566,0.8765,0.35368096828460693,0.8775714285714286
3000,0.29590681195259094,0.879,0.3562425374984741,0.8737142857142857
3100,0.3572622537612915,0.88225,0.3520882725715637,0.8747142857142857
3200,0.255982369184494,0.8785,0.35324591398239136,0.8768571428571429
3300,0.3443325161933899,0.8835,0.3455870449542999,0.8772857142857143
3400,0.2530837655067444,0.888,0.34774649143218994,0.8782857142857143
