step,train_loss,train_acc,dev_loss,dev_acc
0,2.7494146823883057,0.12925,2.5765438079833984,0.1347142857142857
100,0.6800136566162109,0.7495,0.6820086240768433,0.7648571428571429
200,0.5416416525840759,0.81075,0.5618390440940857,0.8037142857142857
300,0.5584538578987122,0.824,0.5090782046318054,0.8151428571428572
400,0.5346491932868958,0.83375,0.46930909156799316,0.8335714285714285
500,0.5958185791969299,0.84225,0.45426082611083984,0.8382857142857143
600,0.382081538438797,0.84825,0.4319014847278595,0.8475714285714285
700,0.4292606711387634,0.85275,0.4308754503726959,0.8458571428571429
800,0.3416993319988251,0.858,0.40672093629837036,0.856
900,0.3700070083141327,0.8445,0.39616793394088745,0.86
1000,0.4188506603240967,0.8605,0.40038296580314636,0.8575714285714285
1100,0.3638690114021301,0.861,0.38903185725212097,0.8608571428571429
1200,0.40799492597579956,0.8605,0.388022780418396,0.8627142857142858
1300,0.5341801643371582,0.8625,0.3838898539543152,0.8648571428571429
1400,0.38912448287010193,0.8715,0.3802379071712494,0.8651428571428571
1500,0.27849799394607544,0.87175,0.3722459673881531,0.868
1600,0.3797631859779358,0.86775,0.37610694766044617,0.8642857142857143
1700,0.32857826352119446,0.86275,0.36690860986709595,0.8707142857142857
1800,0.3227260112762451,0.87,0.3630906343460083,0.8702857142857143
1900,0.32137367129325867,0.87175,0.3596470355987549,0.8731428571428571
2000,0.31538569927215576,0.8775,0.3622753620147705,0.875
2100,0.28703129291534424,0.877,0.3552135229110718,0.8755714285714286
2200,0.2807958126068115,0.87475,0.3622625172138214,0.872
2300,0.43888136744499207,0.8765,0.3581707179546356,0.8721428571428571
2400,0.3986188769340515,0.865,0.3589382469654083,0.8702857142857143
2500,0.2954052984714508,0.8805,0.35443174839019775,0.8742857142857143
2600,0.39878126978874207,0.8865,0.35148143768310547,0.8755714285714286
2700,0.31784504652023315,0.87575,0.35448315739631653,0.875
2800,0.2904468774795532,0.88075,0.3503519892692566,0.8771428571428571
2900,0.3424822986125946,0.87575,0.35169079899787903,0.8774285714285714
3000,0.30563676357269287,0.8915,0.3424113392829895,0.8798571428571429
3100,0.3515504002571106,0.87375,0.34254395961761475,0.8818571428571429
3200,0.33192989230155945,0.8775,0.348188191652298,0.878
3300,0.35371115803718567,0.88325,0.34524425864219666,0.8781428571428571
3400,0.3367404639720917,0.88275,0.34377381205558777,0.8801428571428571
