step,train_loss,train_acc,dev_loss,dev_acc
0,36.39308547973633,0.2025,23.625720977783203,0.2017142857142857
100,1.1301748752593994,0.70375,0.97590172290802,0.705
200,0.7343463897705078,0.7325,0.7520490884780884,0.7381428571428571
300,0.5833024382591248,0.77925,0.6538600921630859,0.7757142857142857
400,0.48010537028312683,0.7745,0.6093939542770386,0.7785714285714286
500,0.5980396866798401,0.8135,0.5451507568359375,0.8051428571428572
600,0.37506094574928284,0.824,0.5457773208618164,0.8117142857142857
700,0.5667672753334045,0.81325,0.5108286738395691,0.8171428571428572
800,0.5161900520324707,0.8075,0.5219252705574036,0.8121428571428572
900,0.4402270019054413,0.824,0.47374385595321655,0.8342857142857143
1000,0.34921935200691223,0.843,0.453384131193161,0.8418571428571429
1100,0.38848695158958435,0.8575,0.47325363755226135,0.8394285714285714
1200,0.34247028827667236,0.8465,0.46352875232696533,0.8398571428571429
1300,0.33621275424957275,0.83325,0.47491884231567383,0.84
1400,0.3723173141479492,0.8425,0.4699093997478485,0.8418571428571429
1500,0.5328087210655212,0.83175,0.4694037437438965,0.8377142857142857
1600,0.37784096598625183,0.85225,0.4299028813838959,0.8482857142857143
1700,0.34400179982185364,0.8455,0.46783870458602905,0.8335714285714285
1800,0.37333065271377563,0.84125,0.44715937972068787,0.8441428571428572
1900,0.37784096598625183,0.85425,0.4683355391025543,0.8401428571428572
2000,0.469215989112854,0.85,0.46130460500717163,0.845
2100,0.3120730519294739,0.83925,0.46241074800491333,0.8362857142857143
2200,0.35633182525634766,0.8485,0.4550723433494568,0.8424285714285714
2300,0.435872346162796,0.8525,0.4679516553878784,0.845
2400,0.3278379440307617,0.844,0.4552341401576996,0.8455714285714285
2500,0.3128161132335663,0.84175,0.4709666967391968,0.84
2600,0.5197796821594238,0.85575,0.4339767396450043,0.8511428571428571
2700,0.3009406328201294,0.8445,0.44929349422454834,0.844
2800,0.3780588209629059,0.8605,0.43564075231552124,0.8508571428571429
2900,0.3456740975379944,0.85675,0.46304231882095337,0.8497142857142858
3000,0.357822448015213,0.85525,0.44125571846961975,0.8497142857142858
3100,0.47242027521133423,0.87125,0.4237392246723175,0.8538571428571429
3200,0.31969153881073,0.8415,0.48452138900756836,0.8407142857142857
3300,0.3736187815666199,0.8755,0.42961394786834717,0.8554285714285714
3400,0.27625757455825806,0.85925,0.4371465742588043,0.848
