step,train_loss,train_acc,dev_loss,dev_acc
0,55.313602447509766,0.104,655033.1875,0.10228571428571429
100,2.343069076538086,0.101,2.311715602874756,0.09742857142857143
200,2.325671672821045,0.10475,2.3537349700927734,0.096
300,2.3404297828674316,0.09775,2.348529577255249,0.10228571428571429
400,2.3567137718200684,0.09925,2.3424010276794434,0.10228571428571429
500,2.3327834606170654,0.1045,2.363837957382202,0.09785714285714285
600,2.390385389328003,0.09675,2.3253467082977295,0.10285714285714286
700,2.3482847213745117,0.092,2.3579301834106445,0.09928571428571428
800,2.321897506713867,0.0965,2.370525360107422,0.10285714285714286
900,2.3750672340393066,0.1065,2.3623156547546387,0.096
1000,2.3852651119232178,0.10475,2.3799877166748047,0.10242857142857142
1100,2.3257064819335938,0.10075,2.3165881633758545,0.09742857142857143
1200,2.358358860015869,0.092,2.3253843784332275,0.09785714285714285
1300,2.360053300857544,0.09075,2.3491082191467285,0.10242857142857142
1400,2.300248622894287,0.09925,2.3456478118896484,0.103
1500,2.4250004291534424,0.102,2.378483295440674,0.09928571428571428
1600,2.378897190093994,0.10175,2.3892595767974854,0.09742857142857143
1700,2.3718461990356445,0.09475,2.3356363773345947,0.10314285714285715
1800,2.2985477447509766,0.09525,2.3808631896972656,0.09571428571428571
1900,2.356682538986206,0.104,2.3112454414367676,0.103
2000,2.3382644653320312,0.104,2.3773436546325684,0.09742857142857143
2100,2.38693904876709,0.0995,2.339050054550171,0.10228571428571429
2200,2.3393819332122803,0.1075,2.35797119140625,0.10314285714285715
2300,2.4496774673461914,0.093,2.348785638809204,0.10285714285714286
2400,2.3391785621643066,0.0925,2.352790355682373,0.10314285714285715
2500,2.384477138519287,0.106,2.3500776290893555,0.09928571428571428
2600,2.37786865234375,0.09425,2.3580479621887207,0.103
2700,2.374659538269043,0.10125,2.3585879802703857,0.09785714285714285
2800,2.333301305770874,0.10325,2.323915719985962,0.10314285714285715
2900,2.336909532546997,0.09325,2.3252906799316406,0.09571428571428571
3000,2.3415846824645996,0.10425,2.4199631214141846,0.10228571428571429
3100,2.415963888168335,0.09375,2.367919921875,0.09571428571428571
3200,2.3221447467803955,0.0965,2.397700309753418,0.103
3300,2.3437209129333496,0.098,2.3715996742248535,0.09571428571428571
3400,2.3731091022491455,0.101,2.4173409938812256,0.09571428571428571
