step,train_loss,train_acc,dev_loss,dev_acc
0,2.571284532546997,0.203,2.4418485164642334,0.20185714285714285
100,0.6865355968475342,0.74725,0.7004274725914001,0.7591428571428571
200,0.5965750217437744,0.809,0.5619992017745972,0.8014285714285714
300,0.42020416259765625,0.81875,0.4948726296424866,0.8264285714285714
400,0.41983944177627563,0.82175,0.4608231782913208,0.8365714285714285
500,0.35051387548446655,0.84475,0.43131640553474426,0.8478571428571429
600,0.381490021944046,0.851,0.4255296587944031,0.8491428571428571
700,0.3926345407962799,0.85925,0.4132676422595978,0.8487142857142858
800,0.3992815911769867,0.85525,0.39789438247680664,0.859
900,0.39206209778785706,0.86675,0.38120511174201965,0.8654285714285714
1000,0.2743696868419647,0.86175,0.3823487162590027,0.8635714285714285
1100,0.30099865794181824,0.866,0.37350407242774963,0.8658571428571429
1200,0.3513551950454712,0.8655,0.3648490309715271,0.8715714285714286
1300,0.3872073292732239,0.8785,0.3588440418243408,0.8735714285714286
1400,0.33745232224464417,0.873,0.3678176999092102,0.8658571428571429
1500,0.2859112620353699,0.87875,0.3504120409488678,0.877
1600,0.30696436762809753,0.87075,0.36171528697013855,0.8692857142857143
1700,0.3166096806526184,0.8875,0.3498954176902771,0.8765714285714286
1800,0.3509035110473633,0.87275,0.34354421496391296,0.8791428571428571
1900,0.35130295157432556,0.87525,0.35094982385635376,0.8772857142857143
2000,0.3021363317966461,0.87825,0.34056615829467773,0.878
2100,0.3014308512210846,0.88625,0.340004563331604,0.8811428571428571
2200,0.3123958110809326,0.8775,0.3373349905014038,0.8814285714285715
2300,0.35947054624557495,0.88025,0.3386167585849762,0.8805714285714286
2400,0.3458317518234253,0.88675,0.33241572976112366,0.8841428571428571
2500,0.3746062219142914,0.882,0.3413921296596527,0.8824285714285715
2600,0.36535054445266724,0.8875,0.327736496925354,0.8838571428571429
2700,0.4066772758960724,0.8845,0.3344495892524719,0.883
2800,0.3156631886959076,0.871,0.33276984095573425,0.8805714285714286
2900,0.34067654609680176,0.87425,0.3425759971141815,0.8782857142857143
3000,0.396582692861557,0.87975,0.33861133456230164,0.8848571428571429
3100,0.3875291049480438,0.885,0.33515965938568115,0.8818571428571429
3200,0.3708919584751129,0.888,0.3243851959705353,0.8855714285714286
3300,0.30363327264785767,0.8795,0.3295094966888428,0.8848571428571429
3400,0.285782128572464,0.88875,0.3218604326248169,0.8878571428571429
