step,train_loss,train_acc,dev_loss,dev_acc
0,30.637353897094727,0.10075,10692.556640625,0.10328571428571429
100,2.315094232559204,0.1025,2.3053860664367676,0.10257142857142858
200,2.308060646057129,0.103,2.3080244064331055,0.09742857142857143
300,2.3170928955078125,0.09775,2.312697649002075,0.10314285714285715
400,2.3121039867401123,0.1055,2.308467149734497,0.09928571428571428
500,2.302738904953003,0.10075,2.307584524154663,0.09928571428571428
600,2.3045809268951416,0.09325,2.3117244243621826,0.09928571428571428
700,2.32741379737854,0.10175,2.306243896484375,0.10314285714285715
800,2.2793397903442383,0.0965,2.312289237976074,0.10314285714285715
900,2.322251081466675,0.103,2.3080761432647705,0.10314285714285715
1000,2.3104612827301025,0.09725,2.306842565536499,0.09928571428571428
1100,2.309674024581909,0.09625,2.306896924972534,0.103
1200,2.319827079772949,0.103,2.3059749603271484,0.09928571428571428
1300,2.310469150543213,0.10125,2.306950092315674,0.09928571428571428
1400,2.3343706130981445,0.09775,2.3123366832733154,0.09928571428571428
1500,2.306718349456787,0.103,2.314511299133301,0.09785714285714285
1600,2.3292734622955322,0.1075,2.313857078552246,0.10242857142857142
1700,2.31274151802063,0.1,2.307933807373047,0.10228571428571429
1800,2.309194564819336,0.10525,2.3093326091766357,0.09571428571428571
1900,2.316648244857788,0.1065,2.3049683570861816,0.10242857142857142
2000,2.2974205017089844,0.11125,2.309840440750122,0.09571428571428571
2100,2.2886672019958496,0.09875,2.3126797676086426,0.103
2200,2.3085994720458984,0.098,2.3065106868743896,0.10314285714285715
2300,2.317192554473877,0.09925,2.306807518005371,0.10228571428571429
2400,2.2833752632141113,0.1005,2.30739688873291,0.10242857142857142
2500,2.31982684135437,0.096,2.3065319061279297,0.103
2600,2.317932367324829,0.094,2.304243803024292,0.10314285714285715
2700,2.3264451026916504,0.09375,2.3165743350982666,0.09928571428571428
2800,2.316223382949829,0.10275,2.311568021774292,0.09571428571428571
2900,2.3095293045043945,0.091,2.306267499923706,0.10285714285714286
3000,2.3047876358032227,0.0975,2.3073668479919434,0.103
3100,2.311319589614868,0.10225,2.307255744934082,0.10242857142857142
3200,2.3283472061157227,0.10525,2.310521125793457,0.096
3300,2.3078033924102783,0.10425,2.304636001586914,0.09785714285714285
3400,2.304903030395508,0.1065,2.3077046871185303,0.103
