step,train_loss,train_acc,dev_loss,dev_acc
0,60.165382385253906,0.1095,47.071529388427734,0.11028571428571429
100,1.4371999502182007,0.667,1.2140321731567383,0.6631428571428571
200,0.8562895655632019,0.73075,0.9091490507125854,0.7112857142857143
300,0.9631199240684509,0.75425,0.8089709281921387,0.7444285714285714
400,0.5305084586143494,0.7645,0.7575494050979614,0.7517142857142857
500,0.7080674767494202,0.76475,0.73064786195755,0.7528571428571429
600,0.6577913165092468,0.77775,0.7151637673377991,0.76
700,0.5697464942932129,0.79375,0.6793248653411865,0.7724285714285715
800,0.6909682750701904,0.79775,0.674742579460144,0.7768571428571428
900,0.5304179191589355,0.803,0.6635271906852722,0.778
1000,0.5843569040298462,0.81275,0.6652765870094299,0.7844285714285715
1100,0.5488036870956421,0.82325,0.626600444316864,0.7902857142857143
1200,0.5501865148544312,0.82275,0.6538515686988831,0.7887142857142857
1300,0.5533568859100342,0.82225,0.6416555047035217,0.7892857142857143
1400,0.5993641018867493,0.817,0.6364139318466187,0.788
1500,0.6727123856544495,0.8345,0.6060689687728882,0.8011428571428572
1600,0.5225657224655151,0.82375,0.6121805310249329,0.7971428571428572
1700,0.5046281218528748,0.82425,0.616439938545227,0.8015714285714286
1800,0.6191405653953552,0.845,0.5902683734893799,0.8071428571428572
1900,0.39253631234169006,0.83325,0.6167626976966858,0.8042857142857143
2000,0.3974302411079407,0.832,0.6036169528961182,0.8055714285714286
2100,0.5074500441551208,0.8455,0.5997259616851807,0.8038571428571428
2200,0.4318670630455017,0.84075,0.6013427972793579,0.805
2300,0.41102835536003113,0.8455,0.5847381353378296,0.8128571428571428
2400,0.510897159576416,0.8285,0.5957242846488953,0.811
2500,0.5925790667533875,0.84525,0.5924837589263916,0.8124285714285714
2600,0.43907326459884644,0.841,0.5971282124519348,0.8085714285714286
2700,0.4083234369754791,0.8405,0.6006057262420654,0.8035714285714286
2800,0.45461103320121765,0.85025,0.5821675062179565,0.8135714285714286
2900,0.27405524253845215,0.84925,0.5919573903083801,0.8158571428571428
3000,0.4819537401199341,0.84675,0.5979560017585754,0.8125714285714286
3100,0.47611409425735474,0.852,0.6251750588417053,0.8078571428571428
3200,0.5239802598953247,0.8355,0.6240216493606567,0.8012857142857143
3300,0.45287448167800903,0.85525,0.5782213807106018,0.8151428571428572
3400,0.4496637284755707,0.85875,0.6054370999336243,0.8171428571428572
