step,train_loss,train_acc,dev_loss,dev_acc
0,25.426528930664062,0.33025,145.58299255371094,0.3291428571428571
100,1.310036063194275,0.5945,1.4915839433670044,0.587
200,0.9170825481414795,0.637,1.1873810291290283,0.6351428571428571
300,1.1292533874511719,0.6655,1.017362117767334,0.6767142857142857
400,0.7304179668426514,0.67175,1.007979393005371,0.6645714285714286
500,1.2987339496612549,0.661,0.9768524765968323,0.656
600,0.8580752015113831,0.71075,0.9309278726577759,0.7064285714285714
700,0.9431822299957275,0.7085,0.8420626521110535,0.7061428571428572
800,0.6822149753570557,0.72225,0.837645411491394,0.7072857142857143
900,0.7101025581359863,0.7515,0.8365654349327087,0.7414285714285714
1000,1.0399781465530396,0.6465,0.9988248944282532,0.6472857142857142
1100,0.9127416014671326,0.72775,0.8120269179344177,0.7341428571428571
1200,0.7923963665962219,0.69475,0.8275589942932129,0.7072857142857143
1300,0.9223101735115051,0.68725,0.8947271108627319,0.6874285714285714
1400,0.9451220631599426,0.72125,0.8780599236488342,0.7311428571428571
1500,0.9234400987625122,0.758,0.9188372492790222,0.7474285714285714
1600,0.9360073208808899,0.72025,0.9375486373901367,0.7227142857142858
1700,1.017987847328186,0.60675,1.083425521850586,0.6118571428571429
1800,0.9999909996986389,0.60475,1.1000258922576904,0.6051428571428571
1900,0.950818657875061,0.625,1.1969966888427734,0.6181428571428571
2000,1.068608283996582,0.65675,1.0345600843429565,0.6538571428571428
2100,1.0016913414001465,0.64525,1.0132484436035156,0.649
2200,0.98968905210495,0.59675,1.0681391954421997,0.5997142857142858
2300,1.1695926189422607,0.6015,1.2203235626220703,0.6088571428571429
2400,1.2728866338729858,0.58875,1.2208235263824463,0.591
2500,1.1427732706069946,0.5275,1.2502278089523315,0.5437142857142857
2600,1.7988073825836182,0.524,1.2433013916015625,0.53
2700,1.0554089546203613,0.494,1.3638030290603638,0.489
2800,1.024844765663147,0.546,1.1913464069366455,0.5411428571428571
2900,1.265104055404663,0.55675,1.2549355030059814,0.5624285714285714
3000,1.964521884918213,0.49725,1.4723105430603027,0.491
3100,1.208380937576294,0.6075,1.0927695035934448,0.5988571428571429
3200,1.3900526762008667,0.543,1.3659346103668213,0.5444285714285715
3300,1.6046595573425293,0.47975,1.3147244453430176,0.512
3400,1.8609652519226074,0.331,1.58577299118042,0.3357142857142857
