step,train_loss,train_acc,dev_loss,dev_acc
0,34.46296691894531,0.1195,34.5443115234375,0.12314285714285714
100,7.385861873626709,0.2965,7.797999382019043,0.3058571428571429
200,4.640421390533447,0.47025,5.03538179397583,0.478
300,3.1731691360473633,0.57675,4.035052299499512,0.5614285714285714
400,4.433228015899658,0.613,3.5230584144592285,0.6017142857142858
500,3.2539215087890625,0.63525,3.195549726486206,0.6252857142857143
600,2.3693175315856934,0.646,2.945620536804199,0.6422857142857142
700,2.6117420196533203,0.67075,2.739556074142456,0.656
800,2.317399024963379,0.67375,2.5997350215911865,0.669
900,2.587725877761841,0.6775,2.4511821269989014,0.6815714285714286
1000,2.167602777481079,0.683,2.3341705799102783,0.6924285714285714
1100,2.159970760345459,0.68325,2.2368977069854736,0.6898571428571428
1200,2.065659999847412,0.699,2.1291720867156982,0.7025714285714286
1300,1.8497604131698608,0.70625,2.0581130981445312,0.7044285714285714
1400,2.2369232177734375,0.70075,2.0039615631103516,0.708
1500,1.9311625957489014,0.72175,1.9019993543624878,0.7205714285714285
1600,1.4113531112670898,0.72175,1.8430405855178833,0.724
1700,2.241135835647583,0.72775,1.779581904411316,0.7338571428571429
1800,2.683434247970581,0.732,1.7344051599502563,0.7341428571428571
1900,2.327141284942627,0.73425,1.71662175655365,0.7358571428571429
2000,1.4626270532608032,0.7395,1.6345113515853882,0.742
2100,1.9647085666656494,0.75125,1.5984413623809814,0.7421428571428571
2200,1.1440097093582153,0.74175,1.56448495388031,0.7438571428571429
2300,1.2466322183609009,0.744,1.5300525426864624,0.7498571428571429
2400,1.633426308631897,0.74125,1.4917532205581665,0.7475714285714286
2500,0.9233134984970093,0.765,1.4621306657791138,0.7547142857142857
2600,1.3840718269348145,0.7465,1.4288564920425415,0.7531428571428571
2700,0.9890908002853394,0.76225,1.3970952033996582,0.7571428571428571
2800,0.9230254292488098,0.75475,1.3695964813232422,0.7621428571428571
2900,0.9963504076004028,0.75325,1.3573977947235107,0.7584285714285715
3000,1.3377728462219238,0.7715,1.3260709047317505,0.764
3100,1.0537258386611938,0.7595,1.3050874471664429,0.7674285714285715
3200,1.6397252082824707,0.77225,1.278401494026184,0.7702857142857142
3300,1.215926170349121,0.771,1.2595264911651611,0.7697142857142857
3400,1.3031835556030273,0.77625,1.2315826416015625,0.7724285714285715
