step,train_loss,train_acc,dev_loss,dev_acc
0,2.480334997177124,0.06775,2.4476206302642822,0.07157142857142858
100,0.6864193081855774,0.751,0.7393708229064941,0.7428571428571429
200,0.5172813534736633,0.792,0.5803591012954712,0.795
300,0.5455414056777954,0.82125,0.5281835198402405,0.8115714285714286
400,0.5187914967536926,0.83375,0.501168966293335,0.8212857142857143
500,0.4843776226043701,0.83425,0.4702323079109192,0.8352857142857143
600,0.4317012131214142,0.8355,0.4580768048763275,0.8341428571428572
700,0.4417409896850586,0.83925,0.4558161497116089,0.8374285714285714
800,0.45432013273239136,0.83575,0.4374833405017853,0.8427142857142857
900,0.39649510383605957,0.84775,0.4291541278362274,0.851
1000,0.3771630525588989,0.85325,0.42565393447875977,0.85
1100,0.39039260149002075,0.854,0.4174081087112427,0.8537142857142858
1200,0.32090556621551514,0.86275,0.40530627965927124,0.8571428571428571
1300,0.43655288219451904,0.854,0.411258727312088,0.8544285714285714
1400,0.38561394810676575,0.853,0.4005924463272095,0.8594285714285714
1500,0.4352914094924927,0.853,0.398783802986145,0.8635714285714285
1600,0.4667099416255951,0.86275,0.39926376938819885,0.8604285714285714
1700,0.37053003907203674,0.86,0.4030989706516266,0.8571428571428571
1800,0.40054869651794434,0.86425,0.3993808329105377,0.8618571428571429
1900,0.4464363157749176,0.862,0.3968507647514343,0.8617142857142858
2000,0.4712650179862976,0.87075,0.38859859108924866,0.8657142857142858
2100,0.4234263598918915,0.8705,0.38242149353027344,0.8688571428571429
2200,0.3795294165611267,0.8755,0.3808163106441498,0.8702857142857143
2300,0.3583720028400421,0.86575,0.38682302832603455,0.8638571428571429
2400,0.40734779834747314,0.87025,0.38149428367614746,0.8688571428571429
2500,0.3326796591281891,0.86325,0.38358548283576965,0.8685714285714285
2600,0.5018606781959534,0.871,0.3828164041042328,0.8638571428571429
2700,0.3764849901199341,0.86925,0.37345466017723083,0.8685714285714285
2800,0.35288795828819275,0.8685,0.38096243143081665,0.865
2900,0.3983834385871887,0.87925,0.37895092368125916,0.8711428571428571
3000,0.3878224492073059,0.86775,0.3698742687702179,0.8754285714285714
3100,0.4681827127933502,0.87175,0.376893550157547,0.8687142857142857
3200,0.4548817574977875,0.8665,0.3772732615470886,0.8674285714285714
3300,0.3035317361354828,0.87475,0.37143218517303467,0.873
3400,0.35391703248023987,0.87575,0.37076109647750854,0.8727142857142857
